posicao,team_name,country_code,confederation,probabilidade_campeao,qtd_amostras,probabilidade_campeao_pct
1,Argentina,ARG,CONMEBOL,0.7525,12,75.25
2,France,FRA,UEFA,0.74875,16,74.88
3,England,ENG,UEFA,0.7308333333333333,12,73.08
4,Spain,ESP,UEFA,0.7225,8,72.25
5,Brazil,BRA,CONMEBOL,0.7145454545454546,11,71.45
6,USA,USA,CONCACAF,0.6011111111111112,9,60.11
7,Croatia,CRO,UEFA,0.57375,8,57.38
8,Netherlands,NED,UEFA,0.5633333333333334,6,56.33
9,Germany,DEU,UEFA,0.5575,8,55.75
10,Italy,ITA,UEFA,0.5328571428571428,7,53.29
11,Ecuador,ECU,CONMEBOL,0.53,4,53.0
12,Switzerland,SUI,UEFA,0.53,2,53.0
13,Uruguay,URU,CONMEBOL,0.53,4,53.0
14,Colombia,COL,CONMEBOL,0.5271428571428571,7,52.71
15,Mexico,MEX,CONCACAF,0.5233333333333333,3,52.33
16,Austria,AUT,UEFA,0.5033333333333333,6,50.33
17,Poland,POL,UEFA,0.5,6,50.0
18,Portugal,POR,UEFA,0.49666666666666665,6,49.67
19,Japan,JPN,AFC,0.48666666666666664,6,48.67
20,Australia,AUS,AFC,0.484,5,48.4
21,Morocco,MAR,CAF,0.48333333333333334,3,48.33
22,Belgium,BEL,UEFA,0.47800000000000004,5,47.8
23,Sweden,SWE,UEFA,0.4583333333333333,6,45.83
24,South Korea,KOR,AFC,0.4525,4,45.25
25,Senegal,SEN,CAF,0.42666666666666664,9,42.67
26,Serbia,SRB,UEFA,0.4242857142857143,7,42.43
27,Denmark,DEN,UEFA,0.4075,4,40.75
28,Canada,CAN,CONCACAF,0.385,2,38.5
29,Peru,PER,CONMEBOL,0.38,1,38.0
30,Costa Rica,CRC,CONCACAF,0.345,4,34.5
31,Ukraine,UKR,UEFA,0.315,4,31.5
32,Jamaica,JAM,CONCACAF,0.312,5,31.2
33,Honduras,HON,CONCACAF,0.3,1,30.0
34,Wales,WAL,UEFA,0.2557142857142857,7,25.57
35,Iran,IRN,AFC,0.2375,4,23.75
36,Saudi Arabia,KSA,AFC,0.23500000000000001,2,23.5
37,Algeria,ALG,CAF,0.23,1,23.0
38,China,CHN,AFC,0.22,2,22.0
39,Ghana,GHA,CAF,0.22,4,22.0
40,Turkey,TUR,UEFA,0.2025,4,20.25
41,New Zealand,NZL,OFC,0.195,2,19.5
42,Paraguay,PAR,CONMEBOL,0.195,2,19.5
43,Egypt,EGY,CAF,0.182,5,18.2
44,Cameroon,CMR,CAF,0.18166666666666667,6,18.17
45,Tunisia,TUN,CAF,0.18,5,18.0
46,Nigeria,NGA,CAF,0.14,2,14.0
47,Qatar,QAT,AFC,0.12333333333333334,3,12.33
